Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
"MONTERREY, N.L.",671402,MTRY 6714 ROP UDIS UNIVERSIDAD,0,0,0,1,6,6
"MONTERREY, N.L.",671402,,0,0,0,1,6,6
SAN JUAN D RIO,246310,,1,1,1,1,5,5
"MONTERREY, N.L.",49603,MTRY 496 CAJ MITRAS,1,2,2,2,10,5
"MONCLOVA, COAH.",769490,,0,1,0,1,5,5
"MONTERREY, N.L.",671401,MTRY 6714 MUE UDIS UNIVERSIDAD,0,0,0,1,5,5
"MONTERREY, N.L.",671401,,0,0,0,1,5,5
"TLAXCALA, TLAXC",655390,,0,1,0,1,5,5
CUAUTLA MORELOS,93790,,1,1,1,1,4,4
"TEPIC, NAY",119690,TPIC 1196 AFO LA CANTERA,1,0,0,1,4,4
"TEPIC, NAY",119690,,1,0,0,1,4,4
"LOS MOCHIS, SIN",39390,,1,1,1,1,4,4
"MONCLOVA, COAH.",769490,MNCV 7694 AFO PASEO MONCLOVA,0,0,0,1,4,4
"JOCOTEPEC, JAL",64690,JCTP 646 AFO MIGUEL ARANA,0,1,0,1,4,4
"DURANGO, DGO.",23590,,1,1,1,1,4,4
"TECOMAN, COLIMA",760560,#N/A,4,4,1,2,8,4
"JOCOTEPEC, JAL",64690,,0,0,0,1,4,4
"TLAXCALA, TLAXC",655390,TLXL 1553 AFO BANDERA,1,0,0,1,4,4
"EL SALTO, JAL",766403,ELST 7664 CAJ EL SALTO (LOS SA,4,0,0,3,11,3.6666666666666665
TLAQUEPAQUE,132501,,0,0,0,2,7,3.5
"MONTERREY, N.L.",49603,,1,0,0,2,7,3.5
STA CATARINA NL,27403,STCA 274 CAJ COLOSIO,4,0,0,4,14,3.5
TLAQUEPAQUE,132501,TLQP DIGITAL CENTRO SUR,0,0,0,2,7,3.5
SAN NICOLAS N.L,37003,SNNG 370 CAJ LOS ANGELES,3,0,0,3,10,3.3333333333333335
CUAUHTEMOC D.F.,140403,#N/A,4,0,0,3,10,3.3333333333333335
STA CATARINA NL,27403,,5,0,0,4,13,3.25
"CHIHUAHUA, CHI",215415,CHUA TRASLADO,15,4,0.26666666666666666,13,41,3.1538461538461537
"CHIHUAHUA, CHI",215415,,14,2,0.14285714285714285,13,40,3.076923076923077
CULIACAN SIN.,967880,#N/A,1,0,0,1,3,3
"ZAMORA, MICH.",5390,,1,0,0,1,3,3
CUAUHTEMOC D.F.,140310,CTMC 1403 GTE PERALVILLO,2,0,0,1,3,3
"ZAPOPAN, JAL.",8390,,1,0,0,1,3,3
"ALTAMIRA, TAM",779090,ALTM 7790 AFO ARBOLEDAS,1,0,0,1,3,3
SAN LUIS POTOSI,117690,,0,1,0,1,3,3
CULIACAN SIN.,967880,,1,0,0,1,3,3
"ZAPOPAN, JAL.",133803,,3,1,0.3333333333333333,3,9,3
AZCAPOTZALCO DF,143190,,0,1,0,1,3,3
"DURANGO, DGO.",23590,DRGO 235 AFO PLAZA MADERO,1,0,0,1,3,3
ECATEPEC DE MOR,780690,ECTP 7806 AFO PLAZA LAS AMERIC,1,0,0,1,3,3
"APODACA, N.L.",24810,,1,0,0,1,3,3
A. OBREGON D.F.,16790,,0,0,0,1,3,3
SAN NICOLAS N.L,37090,SNNG 370 AFO LOS ANGELES,1,0,0,1,3,3
CUAUTITLAN IZCA,119890,,1,0,0,1,3,3
MIGUEL HGO D.F.,321274,,3,1,0.3333333333333333,1,3,3
"LOS MOCHIS, SIN",39390,LMCH 393 AFO CENTENARIO,1,1,1,1,3,3
SAN NICOLAS N.L,37090,,1,0,0,1,3,3
"S MATEO ATENCO,MEX",763590,,1,0,0,1,3,3
SAN JUAN SABINA,34390,NVAR 343 AFO LOPEZ MATEOS,1,0,0,1,3,3
GUADALAJARA JAL,97990,,1,0,0,1,3,3
S JOSE DEL CABO,761890,SNJC 7618 AFO VISTA HERMOSA,1,0,0,1,3,3
"APODACA, N.L.",24810,APDC 248 GTE PZA HUINALA,1,0,0,1,3,3
"PUEBLA, PUEBLA.",153307,,1,1,1,1,3,3
CUAUTLA MORELOS,93790,CTLA 937 AFO REFORMA,1,0,0,1,3,3
S JOSE DEL CABO,761890,,1,0,0,1,3,3
"NUEVO LAREDO, T",12490,NLRD 124 AFO REFORMA,1,0,0,1,3,3
"EMILIANO ZAPATA, VER",121090,,1,1,1,1,3,3
"CHIHUAHUA, CHI",6290,,1,0,0,1,3,3
NAUCALPAN EDO MEX,141410,NCPN 1414 GTE GRAN TERRAZA,1,0,0,1,3,3
AZCAPOTZALCO DF,245321,,1,0,0,1,3,3
A. OBREGON D.F.,56303,ALOB 563 CAJ SAN ANGEL,3,0,0,2,6,3
VERACRUZ VER,17790,,0,0,0,1,3,3
OXKUTZCAB,120990,,1,0,0,1,3,3
"MORELIA, MICH.",251042,,1,2,2,1,3,3
"TECAMACHALCO,PU",76310,,0,0,0,1,3,3
VILLA CORREGIDORA,41490,VCRG 414 AFO PLAZA CANDIL,0,1,0,1,3,3
CUAUTITLAN IZCA,119890,CTLZ 1198 AFO 3 DE MAYO,1,0,0,1,3,3
SAN JUAN SABINA,34390,,1,0,0,1,3,3
ECATEPEC DE MOR,780690,,1,0,0,1,3,3
"MONCLOVA, COAH.",16390,MNCV 163 AFO HUEMAC,1,0,0,1,3,3
"MEXICALI, BCN.",26690,MXLI 266 AFO PLAZA D SOL,1,0,0,1,3,3
"CHIHUAHUA, CHI",6290,CHUA 62 AFO TECNOLOGICO,1,0,0,1,3,3
"DELICIAS, CHIU.",4890,DLCS 48 AFO DELICIAS,2,1,0.5,2,6,3
VERACRUZ VER,17790,VRCZ 177 AFO LOS PINOS,0,1,0,1,3,3
"NUEVO LAREDO, T",123903,NLRD 1239 CAJ PASEO REFORMA,1,0,0,1,3,3
"MONTERREY, N.L.",300205,MTRY INVENTARIOS ZONA VI,0,0,0,1,3,3
OXKUTZCAB,120990,OKTB 1209 AFO ERMITA,1,1,1,1,3,3
GUADALAJARA JAL,97990,GDLJ 979 AFO PLAZA FORUM,1,0,0,1,3,3
"EL SALTO, JAL",766403,,4,0,0,3,9,3
VERACRUZ VER,650410,,1,0,0,1,3,3
