Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotacion AM
"CHIHUAHUA, CHI",215415,CHUA TRASLADO,15,4,0.26666666666666666,13,41,3.1538461538461537
"CHIHUAHUA, CHI",215415,,14,2,0.14285714285714285,13,40,3.076923076923077
"PUEBLA, PUEBLA.",153307,,1,1,1,1,3,3
"LINARES, N.L",161602,LNRS DISTRIBUCION FORANEO,6,0,0,6,17,2.8333333333333335
"GUADALUPE, N.L.",200535,GDLP TRASLADO,19,1,0.05263157894736842,18,49,2.7222222222222223
"LINARES, N.L",161602,,6,0,0,6,16,2.6666666666666665
AZCAPOTZALCO DF,215709,,0,0,0,2,5,2.5
AZCAPOTZALCO DF,215709,AZCP PICKING DOBLADO,0,0,0,2,5,2.5
BENITO JUAREZ QROO,159605,CNCN DISTRIBUCION RAC,2,0,0,2,5,2.5
BENITO JUAREZ QROO,159605,,2,0,0,2,5,2.5
"GUADALUPE, N.L.",200535,,19,2,0.10526315789473684,18,41,2.2777777777777777
"GUADALUPE, N.L.",200525,GDLP DESCARGA,31,10,0.3225806451612903,31,69,2.225806451612903
"GUADALUPE, N.L.",200525,,34,4,0.11764705882352941,32,71,2.21875
"TECAMAC, EDO ME",201825,,34,1,0.029411764705882353,31,65,2.096774193548387
"TECAMAC, EDO ME",201825,TCMC TRASLADO,34,5,0.14705882352941177,31,65,2.096774193548387
"CHIHUAHUA, CHI",215416,CHUA DESCARGA,19,3,0.15789473684210525,18,37,2.0555555555555554
"PUEBLA, PUEBLA.",153307,PBLA MEDIA MILLA,1,0,0,1,2,2
OAXACA OAXACA,157503,,1,0,0,1,2,2
"TIJUANA, BCN",153511,,1,0,0,1,2,2
AZCAPOTZALCO DF,215708,AZCP PICKING COLGADO,1,0,0,1,2,2
"TIJUANA, BCN",153511,TJNA COORDINACION TRANSPORTE,1,0,0,1,2,2
"PARRAL, CHIHUAH",156203,PRRL DISTRIBUCION FORANEO,1,1,1,2,4,2
"GUADALUPE, N.L.",200538,,3,1,0.3333333333333333,2,4,2
"PARRAL, CHIHUAH",156203,,2,0,0,2,4,2
"QUERETARO, QRO.",153003,,1,1,1,2,4,2
"TAMPICO, TAM.",153402,,1,0,0,1,2,2
"CHIHUAHUA, CHI",215416,,18,3,0.16666666666666666,18,35,1.9444444444444444
"TALA, JAL",348902,TALA DISTRIBUCION,13,4,0.3076923076923077,13,25,1.9230769230769231
"QUERETARO, QRO.",153004,QRTO DISTRIBUCION FORANEO,3,2,0.6666666666666666,5,9,1.8
"QUERETARO, QRO.",153004,,6,2,0.3333333333333333,5,9,1.8
"POZA RICA, VER.",161203,,5,2,0.4,5,9,1.8
SAN LUIS POTOSI,212206,,14,5,0.35714285714285715,14,25,1.7857142857142858
"TALA, JAL",348902,,15,2,0.13333333333333333,13,23,1.7692307692307692
"CD VICTORIA,TAM",160903,,4,0,0,4,7,1.75
"CD VICTORIA,TAM",160903,CDVC DISTRIBUCION FORANEO,4,0,0,4,7,1.75
"TUXPAN,VERACRUZ",165201,TXPN DISTRIBUCION,9,0,0,8,13,1.625
"LEON, GTO.",215301,,17,3,0.17647058823529413,16,26,1.625
"TUXPAN,VERACRUZ",165201,,9,0,0,8,13,1.625
SAN LUIS POTOSI,212206,#N/A,13,2,0.15384615384615385,13,21,1.6153846153846154
OAXACA OAXACA,157505,OAXC DISTRIBUCION I FORANEO,0,0,0,5,8,1.6
"POZA RICA, VER.",161203,PZRC DISTRIBUCION FORANEO,6,1,0.16666666666666666,5,8,1.6
"MEXICALI, BCN.",201413,,15,1,0.06666666666666667,16,25,1.5625
TLAQUEPAQUE,159508,TLQP EMBARQUES III,9,3,0.3333333333333333,13,20,1.5384615384615385
CUAUTITLAN IZCA,201314,CTLZ DESCARGA I,59,1,0.01694915254237288,53,81,1.528301886792453
"MONTERREY, N.L.",200513,,35,7,0.2,38,58,1.5263157894736843
CD CUAUHTEMOC,153802,CDCC DISTRIBUCION FORANEO,2,0,0,2,3,1.5
TLAQUEPAQUE,159505,TLQP DESCARGA II,30,6,0.2,34,51,1.5
"GUADALUPE, N.L.",200538,GDLP DISTRIBUCION III,3,0,0,2,3,1.5
"LOS MOCHIS, SIN",201514,LMCH LOTEO,8,3,0.375,10,15,1.5
"CHIHUAHUA, CHI",151603,CHUA DISTRIBUCION FORANEO,2,0,0,2,3,1.5
CUAUTITLAN IZCA,201327,,2,0,0,2,3,1.5
"GUADALUPE, N.L.",200529,,8,3,0.375,10,15,1.5
"LEON, GTO.",215301,LEON ZAPATERIA,16,4,0.25,16,24,1.5
"CHIHUAHUA, CHI",215414,CHUA SUMINISTROS,2,0,0,2,3,1.5
"MONTERREY, N.L.",154001,,9,1,0.1111111111111111,10,15,1.5
"QUERETARO, QRO.",153003,QRTO DISTRIBUCION RAC,1,1,1,2,3,1.5
AZCAPOTZALCO DF,210703,AZCP HABILITADO MOTOS,4,0,0,4,6,1.5
"MEXICALI, BCN.",201413,MXLI TRASLADO,15,1,0.06666666666666667,16,24,1.5
"CHIHUAHUA, CHI",215420,,5,1,0.2,6,9,1.5
AZCAPOTZALCO DF,210703,,4,0,0,4,6,1.5
CUAUTITLAN IZCA,201327,CTLZ SUMINISTROS,2,0,0,2,3,1.5
"LOS MOCHIS, SIN",201514,,10,1,0.1,10,15,1.5
TLAQUEPAQUE,218110,,19,3,0.15789473684210525,19,28,1.4736842105263157
CUAUTITLAN IZCA,201328,CTLZ TRASLADO,40,8,0.2,38,56,1.4736842105263157
GUADALAJARA JAL,215604,,16,3,0.1875,15,22,1.4666666666666666
GUADALAJARA JAL,215603,,15,1,0.06666666666666667,13,19,1.4615384615384615
TLAQUEPAQUE,159505,,34,2,0.058823529411764705,34,49,1.4411764705882353
TLAQUEPAQUE,159504,TLQP DESCARGA I,34,4,0.11764705882352941,37,53,1.4324324324324325
TLAQUEPAQUE,159504,,37,2,0.05405405405405406,37,53,1.4324324324324325
TEXCOCO EDO MEX,218230,,9,2,0.2222222222222222,7,10,1.4285714285714286
SAN JUAN D RIO,160202,SNJR DISTRIBUCION FORANEO,10,2,0.2,12,17,1.4166666666666667
"CUAUTLANCINGO, PUE",201207,,22,5,0.22727272727272727,29,41,1.4137931034482758
"CUAUTLANCINGO, PUE",201207,CTLG RACK,28,5,0.17857142857142858,30,42,1.4
OAXACA OAXACA,157505,,1,0,0,5,7,1.4
"MONTERREY, N.L.",200513,MTRY TRASLADO,41,5,0.12195121951219512,38,53,1.394736842105263
GUADALAJARA JAL,215603,GDLJ ZAPATERIA,14,1,0.07142857142857142,13,18,1.3846153846153846
TLAQUEPAQUE,159508,,12,0,0,13,18,1.3846153846153846
CUAUTITLAN IZCA,201326,CTLZ PISO,12,1,0.08333333333333333,11,15,1.3636363636363635
"GOMEZ PAL, DGO.",200317,,32,5,0.15625,36,49,1.3611111111111112
CUAUTITLAN IZCA,201314,,56,2,0.03571428571428571,54,73,1.3518518518518519
