Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
"MONTERREY, N.L.",671402,,0,0,0,1,6,6
"MONTERREY, N.L.",671402,MTRY 6714 ROP UDIS UNIVERSIDAD,0,0,0,1,6,6
"MONTERREY, N.L.",671401,MTRY 6714 MUE UDIS UNIVERSIDAD,0,0,0,1,5,5
"MONTERREY, N.L.",671401,,0,0,0,1,5,5
TLAQUEPAQUE,132501,TLQP DIGITAL CENTRO SUR,0,0,0,2,7,3.5
TLAQUEPAQUE,132501,,0,0,0,2,7,3.5
"APODACA, N.L.",24810,APDC 248 GTE PZA HUINALA,1,0,0,1,3,3
"MONTERREY, N.L.",300205,MTRY INVENTARIOS ZONA VI,0,0,0,1,3,3
CUAUHTEMOC D.F.,140310,CTMC 1403 GTE PERALVILLO,2,0,0,1,3,3
"APODACA, N.L.",24810,,1,0,0,1,3,3
NAUCALPAN EDO MEX,141410,NCPN 1414 GTE GRAN TERRAZA,1,0,0,1,3,3
VERACRUZ VER,650410,,1,0,0,1,3,3
"TECAMACHALCO,PU",76310,,0,0,0,1,3,3
"LORETO, BAJA CALIF S",771002,,11,1,0.09090909090909091,9,24,2.6666666666666665
"LORETO, BAJA CALIF S",771002,LRTO 7710 ROP LORETO,11,2,0.18181818181818182,9,24,2.6666666666666665
"RAMOS ARIZPE, COAH",49401,,11,12,1.0909090909090908,9,23,2.5555555555555554
"RAMOS ARIZPE, COAH",49402,,14,4,0.2857142857142857,12,30,2.5
ECATEPEC DE MOR,47602,,17,2,0.11764705882352941,15,35,2.3333333333333335
"RAMOS ARIZPE, COAH",49402,RMSA 494 ROP PLAZA BELLA,12,3,0.25,12,28,2.3333333333333335
ECATEPEC DE MOR,22801,ECTP 228 MUE TULPETLAC,12,1,0.08333333333333333,11,25,2.272727272727273
ECATEPEC DE MOR,47602,ECTP 476 ROP SENDERO,18,9,0.5,15,34,2.2666666666666666
"TULANCINGO, HGO",29301,,20,5,0.25,21,46,2.1904761904761907
"MERIDA, YUCATAN",789802,,17,0,0,16,35,2.1875
"MERIDA, YUCATAN",789802,MRDA 7898 ROP LAS AMERICAS,16,5,0.3125,16,35,2.1875
ECATEPEC DE MOR,22801,,12,0,0,11,24,2.1818181818181817
